"title","budget","genre","mpaa","runtimes","rating"
"A New Wave","760000","20","4","93","4.7"
"A Night at the Roxbury","17000000","5","3","82","6.2"
"A Nightmare in Las Cruces","75000","1","4","103","5.6"
"A Nightmare on Elm Street","27000000","2","4","95","5.2"
"A Packing Suburbia","40000","14","4","90","3.4"
"A Perfect Getaway","14000000","13","4","98","6.5"
"A Perfect Man","5000000","4","4","95","5.2"
"A Perfect Murder","60000000","14","4","107","6.5"
"A Perfect World","30000000","14","3","138","7.5"
"A Plumm Summer","4200000","13","2","99","6.1"
"A Prairie Home Companion","10000000","5","3","105","6.8"
"A Resurrection","5000000","2","4","89","3.9"
"A River of Skulls","80000","4","4","100","5.1"
"A Scanner Darkly","8500000","19","4","100","7.1"
"A Serious Man","7000000","5","4","106","7.0"
"A Shot at Glory","9000000","4","4","114","6.3"
"A Simple Plan","17000000","14","4","121","7.5"
"A Simple Wish","28000000","5","2","89","5.3"
"A Single Man","7000000","4","4","99","7.6"
"A Smile Like Yours","18000000","5","4","98","4.7"
"A Sound of Thunder","52000000","20","3","110","4.2"
"A Streetcar Named Desire","1800000","4","2","122","8.1"
"A Table for One","1200000","4","4","96","5.2"
"A Thin Line Between Love and Hate","8000000","5","4","108","5.5"
"A Thousand Words","40000000","5","3","91","5.9"
"A Time to Kill","40000000","14","4","149","7.4"
"A Very Brady Sequel","15000000","5","3","90","5.5"
"A Very Harold & Kumar 3D Christmas","19000000","5","4","90","6.3"
"A Walk Among the Tombstones","28000000","14","4","114","6.5"
"A Walk in the Clouds","20000000","4","3","102","6.6"
"A Walk on the Moon","14000000","4","4","107","6.6"
"A Walk to Remember","11000000","4","2","101","7.4"
"A Warrior's Heart","2500000","20","2","86","5.5"
"Abandon","25000000","4","3","99","4.9"
"Abby in the Summer","4500000","4","4","78","3.2"
"Abduction","35000000","20","3","106","5.0"
"Abel's Field","3500000","4","2","104","6.5"
"About a Boy","27000000","5","3","101","7.1"
"About Cherry","2500000","4","4","98","4.8"
"About Last Night","12500000","5","4","100","6.1"
"About Schmidt","30000000","5","4","125","7.2"
"Above the Rim","3500000","14","4","96","6.6"
"Abraham Lincoln: Vampire Hunter","69000000","20","4","105","6.0"
"Absentia","70000","4","4","87","5.8"
"Absolon","8000000","20","4","96","4.2"
"Absolute Deception","5000000","20","4","92","4.2"
"Absolute Power","50000000","20","4","121","6.7"
"Accepted","23000000","5","3","93","6.5"
"Accidental Love","26000000","5","3","100","4.1"
"Ace Ventura: Pet Detective","12000000","5","3","86","6.9"
"Ace Ventura: When Nature Calls","30000000","13","3","90","6.3"
"Across the Universe","45000000","4","3","133","7.5"
"Act of Valor","12000000","20","4","110","6.5"
"Adam Resurrected","10000000","4","4","106","6.3"
"Adaptation.","19000000","5","4","114","7.7"
"Admission","13000000","5","3","107","5.7"
"Adoration","4700000","4","4","100","6.4"
"Adrift in Manhattan","4000000","4","4","91","5.4"
"Adventures of a Teenage Dragonslayer","3250000","13","2","93","3.0"
"Adventures of Johnny Tao","1000000","20","3","90","4.4"
"Adventures of Power","2500000","5","3","89","6.4"
"Affliction","6000000","4","4","114","7.0"
"Afghan Knights","1500000","13","4","90","3.1"
"After","650000","6","3","90","5.5"
"After Earth","130000000","20","3","100","5.0"
"After Image","1200000","4","4","92","3.8"
"After Last Season","5000000","4","3","93","7.8"
"After the Sunset","58000000","20","3","97","6.3"
"After...","1000000","2","4","80","3.3"
"After.Life","4500000","4","4","104","6.0"
"Aftershock","2000000","2","4","89","4.8"
"Against the Current","3000000","4","4","99","6.2"
"Against the Ropes","39000000","11","3","111","5.2"
"Agent Cody Banks","26000000","20","2","102","5.0"
"Agent Cody Banks 2: Destination London","26000000","20","2","100","4.4"
"Agent Crush","10000000","13","2","93","6.7"
"Agent Red","2000000","20","4","98","3.1"
"Agora","70000000","13","4","127","7.2"
"Aimee Semple McPherson","5000","4","2","110","5.2"
"Air Bud","3000000","5","2","98","5.0"
"Air Force One","85000000","20","4","124","6.4"
"Air Marshal","500000","20","4","90","2.6"
"Airborne","2600000","13","2","91","6.1"
"Akasia","2200000","2","4","103","5.8"
"Alaska","23000000","13","2","109","5.7"
"Albert Nobbs","8000000","4","4","113","6.7"
"Albino Alligator","5000000","14","4","97","6.1"
"Alex & Emma","30000000","5","3","96","5.5"
"Alex Cross","35000000","20","3","101","5.1"
"Alexander","155000000","20","4","175","5.5"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","28000000","5","2","81","6.2"
"Alferd Packer: The Musical","125000","11","4","95","7.3"
"Alfie","60000000","5","4","103","6.2"
"Ali","107000000","11","4","165","6.7"
"Alice in Wonderland","200000000","13","2","108","6.5"
"Alien","11000000","2","4","117","8.5"
"Alien Abduction","600000","2","4","96","2.6"
"Alien Armageddon","870000","8","4","95","2.0"
"Alien Dawn","1850000","20","4","86","2.2"
"Alien Escape","1000000","8","4","85","5.7"
"Alien Hunter","7000000","20","4","92","5.1"
"Alien: Resurrection","75000000","20","4","109","6.3"
"Aliens","18500000","20","4","137","8.4"
"Aliens in the Attic","45000000","13","2","86","5.4"
"Alien³","63000000","2","4","114","6.4"
"Alive","32000000","20","4","120","7.0"
"Alive or Dead","200000","2","4","83","3.1"
"All About Steve","15000000","5","3","99","4.8"
"All About the Benjamins","14000000","20","4","95","5.7"
"All Is Lost","9000000","20","3","106","6.9"
"All Night Bodega","75000","4","4","90","6.6"
"All or Nothing","9000000","5","4","128","7.5"
"All That I Need","40000","5","4","80","6.8"
"All the Boys Love Mandy Lane","750000","2","4","90","5.6"
"All the King's Men","55000000","4","3","128","6.2"
"All the Pretty Horses","57000000","4","3","116","5.8"
"All the Queen's Men","25000000","20","3","99","4.5"
"All the Real Girls","2500000","4","4","108","6.9"
"All Things Fall Apart","7000000","4","4","110","5.5"
"Almost Famous","60000000","4","4","122","7.9"
"Aloft","8000000","4","4","112","6.5"
"Alone in the Dark","20000000","20","4","96","2.3"
"Alone Yet Not Alone","7000000","21","3","103","3.8"
"Along Came a Spider","60000000","20","4","104","6.3"
"Along Came Polly","42000000","5","3","90","5.9"
"Along the Way","1200000","4","4","111","7.1"
"Alpha and Omega","20000000","13","2","88","5.3"
"Alpha Male","3000000","4","4","100","5.6"
"Already Dead","2500000","20","4","93","5.7"
"Altered","8000000","2","4","88","5.7"
"Alvin and the Chipmunks","60000000","19","2","92","5.3"
"Alvin and the Chipmunks: The Squeakquel","75000000","19","2","88","4.4"
"Amadeus","18000000","11","4","160","8.4"
"Amar a morir","2500000","4","4","119","6.4"
"Amar te duele","5000000","4","4","104","6.6"
"Amelia","40000000","13","2","111","5.8"
"America's Sweethearts","48000000","5","3","102","5.7"
"American Beauty","15000000","4","4","122","8.4"
"American Crude","10000000","5","4","94","3.8"
"American Dragons","5000000","20","4","91","4.7"
"American Dreamz","19000000","5","3","107","5.5"
"American Gangster","100000000","11","4","176","7.8"
"American Heart","10000000","14","4","113","6.7"
"American Heist","10000000","20","4","94","5.3"
"American History X","7500000","14","4","119","8.6"
"American Hustle","40000000","14","4","138","7.3"
"American Idiots","750000","5","4","92","2.2"
"American Me","16000000","11","4","125","7.2"
"American Outlaws","35000000","20","3","94","6.0"
"American Pie","11000000","5","4","95","7.0"
"American Pie 2","30000000","5","4","108","6.4"
"American Pimp","650000","1","4","87","6.6"
"American Psycho","7000000","14","4","102","7.6"
