"title","budget","genre","mpaa","runtimes","rating","gross"
"At Play in the Fields of the Lord","36000000","4","4","189","6.7","1342903"
"Atlas Shrugged: Part I","4300000","4","3","97","5.8","4752353"
"Atonement","30000000","4","4","123","7.8","50927067"
"Austin Powers in Goldmember","63000000","20","3","94","6.2","213307889"
"Austin Powers: International Man of Mystery","17000000","5","3","94","7.0","53883989"
"Austin Powers: The Spy Who Shagged Me","33000000","20","3","95","6.6","206040086"
"Autumn in New York","40000000","4","3","103","5.4","37761915"
"Avatar","237000000","20","3","162","7.9","760507625"
"AVP: Alien vs. Predator","60000000","20","3","101","5.6","80282231"
"Away We Go","17000000","5","4","98","7.1","9451946"
"Babel","25000000","4","4","143","7.5","34302837"
"Baby's Day Out","50000000","13","2","99","5.9","16671505"
"Bad Boys","19000000","20","4","118","6.8","65807024"
"Bad Boys II","130000000","20","4","147","6.5","138608444"
"Bad Company","70000000","20","3","125","5.6","30160161"
"Bad Lieutenant","1000000","14","5","91","7.1","2000022"
"Bad Moon","7000000","2","4","80","5.5","1055525"
"Bad News Bears","30000000","5","3","113","5.8","32868349"
"Barcelona","3200000","5","3","101","7.0","7266973"
"Barton Fink","9000000","4","4","116","7.7","6153939"
"Basic Instinct","49000000","4","4","128","6.9","117727000"
"Basic Instinct 2","70000000","4","4","114","4.2","5971336"
"Batman & Robin","125000000","20","3","125","3.6","107325195"
"Batman Forever","100000000","20","3","121","5.4","184031112"
"Batman Returns","80000000","20","3","126","7.0","162831698"
"Batman: Mask of the Phantasm","6000000","20","2","76","7.9","5617391"
"Bats","6500000","2","3","91","3.6","10155690"
"Battleship","209000000","20","3","131","5.9","65422625"
"Be Cool","53000000","5","3","118","5.6","56046979"
"Bean","22000000","5","3","89","6.3","45319423"
"Beastly","17000000","4","3","86","5.5","27865571"
"Beasts of the Southern Wild","1800000","4","3","93","7.3","12795746"
"Beautiful Creatures","60000000","4","3","124","6.2","19452138"
"Becket","3000000","11","3","148","8.0","9164370"
"Becoming Jane","16500000","11","2","120","7.1","18670946"
"Bedazzled","48000000","5","3","93","5.9","37886980"
"Bedtime Stories","80000000","5","2","99","6.1","110101975"
"Bee Movie","150000000","13","2","91","6.2","126631277"
"Beerfest","17500000","5","4","110","6.3","19185184"
"Beethoven's 2nd","15000000","5","2","89","4.7","53354166"
"Before and After","35000000","14","3","108","6.1","8797839"
"Before Sunrise","2500000","4","4","105","8.1","5535405"
"Being Human","30000000","5","3","122","5.3","1519366"
"Belle","10900000","4","2","104","7.4","10726630"
"Beloved","53000000","4","4","172","5.8","22852487"
"Better Luck Tomorrow","250000","14","4","101","7.2","3802390"
"Beverly Hills Chihuahua","20000000","13","2","91","3.7","94514402"
"Beverly Hills Cop III","55000000","20","4","104","5.5","42610000"
"Beyond Rangoon","23000000","20","4","100","6.6","5750110"
"Big Bully","15000000","5","2","90","4.5","4085000"
"Big Daddy","34200000","5","3","93","6.4","163479795"
"Big Jake","4800000","20","3","110","7.2","7500000"
"Big Momma's House","30000000","20","3","99","5.0","117559438"
"Big Momma's House 2","40000000","5","3","99","4.5","70165972"
"Billy Bathgate","48000000","20","4","106","5.9","15965919"
"Billy Elliot","5000000","5","3","110","7.7","21995263"
"Billy Madison","10000000","5","3","89","6.4","25588750"
"Bis ans Ende der Welt","23000000","20","4","280","6.9","752856"
"Bitter Moon","5000000","4","4","139","7.1","1862805"
"Black Hawk Down","92000000","4","4","144","7.7","108638745"
"Black Swan","13000000","4","4","108","8.0","106954678"
"Blade","45000000","20","4","120","7.1","70087718"
"Blade II","54000000","20","4","117","6.7","82348319"
"Blade Runner","28000000","8","4","117","8.2","3740330"
"Blades of Glory","61000000","5","3","93","6.3","118594548"
"Blink","11000000","14","4","106","6.1","16696219"
"Blonde Ambition","10000000","5","3","93","3.8","6422"
"BloodRayne","25000000","20","4","92","2.8","2405420"
"Blow","30000000","11","4","124","7.6","52990775"
"Blue Hawaii","2000000","5","2","102","6.0","10440453"
"Blue in the Face","2000000","5","4","83","6.7","1275999"
"Blue Jasmine","18000000","4","3","98","7.3","33405481"
"Blue Valentine","1000000","4","5","112","7.4","9737892"
"Bobby","14000000","4","4","120","7.0","11242801"
"Bodies, Rest & Motion","2500000","4","4","95","5.6","764083"
"Body of Evidence","30000000","4","4","99","4.3","13275426"
"Body of Lies","70000000","20","4","128","7.1","39394666"
"Body Parts","10000000","2","4","88","5.4","9188150"
"Body Snatchers","13000000","2","4","87","5.9","428868"
"Bogus","30000000","5","2","110","5.2","4357000"
"Boiling Point","9000000","20","4","92","4.9","10058318"
"Bolt","150000000","13","2","96","7.0","114053579"
"Boogeyman","20000000","4","3","89","4.1","46752382"
"Boogie Nights","15000000","4","4","155","7.9","26400640"
"Book of Shadows: Blair Witch 2","15000000","2","4","90","4.0","26437094"
"Boomerang","40000000","5","4","117","5.4","70100000"
"Bopha!","12000000","4","3","120","6.5","212483"
"Bottle Rocket","7000000","5","4","91","7.1","1040879"
"Bound by Honor","35000000","20","4","180","7.9","4496583"
"Bowfinger","55000000","5","3","97","6.4","66384775"
"Boys on the Side","21000000","5","4","115","6.3","23450000"
"Boyz n the Hood","6000000","14","4","112","7.8","57504069"
"Braindead","3000000","5","4","104","7.6","242623"
"Brave","185000000","13","2","93","7.2","237283207"
"Brazil","15000000","8","4","94","8.0","9929135"
"Bride of Chucky","25000000","5","4","89","5.3","32383850"
"Bride Wars","30000000","5","2","89","5.4","58715510"
"Bridesmaids","32500000","5","4","131","6.8","169106725"
"Bridget Jones's Diary","26000000","5","4","97","6.7","71543427"
"Bridget Jones: The Edge of Reason","40000000","5","4","108","5.9","40226215"
"Brigham City","1000000","14","3","119","7.2","852206"
"Bringing Down the House","33000000","5","3","105","5.5","132716677"
"Bro'","5000000","20","4","89","3.5","12300000"
"Brokeback Mountain","14000000","4","4","134","7.7","83043761"
"Broken Arrow","50000000","20","4","108","6.0","70770147"
"Broken Flowers","10000000","5","4","106","7.2","13744960"
"Bruce Almighty","81000000","5","3","101","6.7","242829261"
"Brüno","42000000","5","4","81","5.9","60054530"
"Buffalo '66","1500000","5","4","110","7.5","2375097"
"Buffy the Vampire Slayer","7000000","20","3","86","5.5","16624456"
"Bugsy","30000000","11","4","136","6.8","49114016"
"Bullets Over Broadway","20000000","5","4","98","7.5","13383737"
"But I'm a Cheerleader","1200000","5","4","85","6.5","2205627"
"Cabin Fever","1500000","5","4","93","5.6","21158188"
"Cadillac Records","12000000","11","4","109","6.9","8195551"
"Calendar Girl","13000000","5","3","90","4.9","2570145"
"Calendar Girls","10000000","5","3","108","6.9","31041759"
"Camp","200000","4","3","109","6.8","324977"
"Canadian Bacon","11000000","5","2","91","5.9","178104"
"Candyman","6000000","4","4","99","6.6","25792310"
"Cape Fear","35000000","14","4","128","7.3","79100000"
"Captain America: The First Avenger","140000000","20","3","124","6.8","176654505"
"Captain America: The Winter Soldier","170000000","20","3","136","7.8","259766572"
"Captain Phillips","55000000","11","3","134","7.9","107100855"
"Carlito's Way","30000000","14","4","144","7.9","36948322"
"Carnosaur","1000000","2","4","83","3.4","1753979"
"Carrie","30000000","4","4","100","6.0","35266619"
"Casino","52000000","11","4","178","8.2","42438300"
"Casper","50000000","5","2","100","6.0","100328194"
"Catch Me If You Can","52000000","11","3","141","8.0","164615351"
"Cats & Dogs","60000000","5","2","87","5.2","93385515"
"Catwoman","100000000","20","3","104","3.3","40202379"
"Cecil B. DeMented","10000000","5","4","87","6.2","1284646"
"Changeling","55000000","4","4","141","7.8","35739802"
"Changing Lanes","45000000","4","4","98","6.5","66818548"
"Chaplin","31000000","11","3","143","7.6","9493259"
"Charlie and the Chocolate Factory","150000000","13","2","115","6.7","206459076"
"Charlie Wilson's War","75000000","11","4","102","7.1","66661095"
"Charlie's Angels: Full Throttle","120000000","20","3","106","4.8","100830111"
"Charly","950000","5","2","103","7.2","814666"
"Cheaper by the Dozen 2","60000000","13","2","94","5.4","82571173"
"Cherish","1500000","5","4","99","6.8","179751"
"Child's Play 3","13000000","2","4","90","4.9","9673095"
"Children of the Corn II: The Final Sacrifice","900000","2","4","92","4.1","6980986"
"Children on Their Birthdays","10000000","5","2","102","6.5","54912"
"China Moon","15000000","9","4","99","6.2","3038499"
"Chocolat","25000000","4","3","121","7.3","71509363"
"Christmas at Maxwell's","3000000","4","2","94","6.1","12781"
"Christopher Columbus: The Discovery","40000000","13","3","120","4.4","8251071"
"Chronicle","12000000","4","3","84","7.1","64575175"
"Cinderella Man","88000000","11","3","144","8.0","61649911"
"City Hall","40000000","4","4","111","6.2","20200000"
"City of Angels","55000000","4","3","114","6.7","78685114"
"City of Hope","3000000","14","4","129","7.4","1264910"
"City of Joy","27000000","4","3","132","6.3","14683921"
"City Slickers II: The Legend of Curly's Gold","40000000","13","3","116","5.4","43622150"
"Class Act","7500000","5","3","98","5.9","13272113"
"Clear and Present Danger","45000000","20","3","141","6.9","122187717"
"Clerks","230000","5","4","92","7.9","3151130"
"Click","70000000","5","3","107","6.4","137355633"
"Cliffhanger","65000000","20","4","112","6.3","84049211"
"Clockers","25000000","14","4","128","6.9","13040603"
"Closet Land","4000000","4","4","94","7.2","259012"
"Cloudy with a Chance of Meatballs","100000000","19","2","90","7.0","124870275"
"Clueless","12000000","5","3","97","6.7","56631572"
"Cold Mountain","79000000","4","4","154","7.2","95636509"
"Collateral","65000000","14","4","120","7.6","101005703"
"Collateral Damage","85000000","20","4","108","5.4","40077257"
"Color of Night","40000000","4","4","121","5.0","19721814"
"Con Air","75000000","20","4","115","6.8","101117573"
"Conan the Barbarian","70000000","20","4","113","5.2","21295021"
"Confidence","15000000","14","4","97","6.7","41000000"
"Congo","50000000","20","3","109","5.0","81022101"
"Consenting Adults","18000000","14","4","99","5.7","21591728"
"Conspiracy Theory","75000000","20","4","135","6.7","75982834"
"Contact","90000000","4","2","150","7.4","100920329"
"Conversations with Other Women","450000","5","4","84","7.1","369854"
"Cool Runnings","15000000","13","2","98","6.9","68856263"
"Copycat","20000000","14","4","123","6.5","32051917"
"Coraline","60000000","19","2","100","7.7","75286229"
"Corpse Bride","40000000","19","2","77","7.4","53359111"
"Country Strong","15000000","4","3","117","6.3","20218921"
"Couples Retreat","60000000","5","3","113","5.5","109205660"
"Courage Under Fire","46000000","4","4","117","6.6","59031057"
"Crash","9000000","4","5","100","6.3","2038450"
"Crazy, Stupid, Love.","50000000","5","3","118","7.4","84351197"
"Crimson Tide","53000000","20","4","123","7.3","91400000"
"Crocodile Dundee in Los Angeles","21150000","13","2","92","4.8","25635682"
"Cronos","2000000","2","4","94","6.8","621392"
"Crooklyn","14000000","5","3","115","6.9","13640000"
"Cruel Intentions","10500000","4","4","97","6.9","38328567"
"Cursed","35000000","5","3","97","4.9","19297522"
"Cutthroat Island","98000000","20","3","124","5.6","10017322"
"D-Tox","55000000","14","4","96","5.2","79161"
"Daddy Day Care","60000000","5","2","92","5.5","104297061"
"Dallas Buyers Club","5000000","11","4","117","8.0","27298285"
"Dante's Peak","116000000","20","3","108","5.8","67127760"
"Dark City","27000000","6","4","100","7.8","14378331"
"Dark Shadows","100000000","5","3","113","6.2","79727149"
"Dark Water","30000000","4","3","105","5.5","25473352"
"Darkness","10600000","2","3","103","5.4","22163442"
"Darkness Falls","11000000","2","3","86","4.9","32551396"
"Das Boot","14000000","13","4","149","8.4","572426"
"Dawn of the Dead","26000000","20","4","101","7.4","59020957"
"Dawn of the Planet of the Apes","170000000","20","3","130","7.7","208545589"
"Daylight","80000000","20","3","114","5.8","33023469"
"Dazed and Confused","6900000","5","4","102","7.7","7993039"
"Dead Again","15000000","17","4","107","7.0","38016380"
"Dead Man","9000000","4","4","121","7.7","1037847"
"Dead Man Walking","11000000","14","4","122","7.6","39025000"
"Dead Presidents","10000000","14","4","119","6.8","24200000"
"Death and the Maiden","12000000","4","4","103","7.3","2104000"
"Death Becomes Her","55000000","5","3","104","6.4","58422650"
"Death of a President","2000000","14","4","97","6.4","519086"
"Death Race","45000000","20","4","111","6.4","36316032"
"Death Wish V: The Face of Death","5000000","20","4","95","4.7","1702394"
"Deep Impact","75000000","20","3","120","6.1","140464664"
"Deep Rising","45000000","20","4","106","6.0","11203026"
"Defendor","3500000","5","4","95","6.9","44462"
"Delivery Man","26000000","5","3","105","6.4","30664106"
