"title","budget","genre","mpaa","runtimes","gross"
"Another Year","10000000","5","3","129","3205706"
"Another You","17000000","5","4","94","2865916"
"Antitrust","30000000","14","3","109","68675162001"
"Antz","60000000","13","2","83","90757863"
"Any Given Sunday","55000000","4","4","162","75530832"
"Apocalypse Now","31500000","4","4","153","787840101979"
"Apollo 13","62000000","13","2","140","173837933"
"April's Shower","1000000","5","4","100","16377"
"Are We There Yet?","32000000","13","2","95","82674398"
"Argo","44500000","4","4","120","136025503"
"Arizona Dream","19000000","5","4","142","106658"
"Armageddon","140000000","20","3","151","2630000"
"Army of Darkness","13000000","5","4","81","11502976"
"Around the World in 80 Days","110000000","20","2","120","48170758"
"Arthur","40000000","5","3","110","33035397"
"Arthur 3: la guerre des deux mondes","65000000","13","2","101","829264"
"Arthur et la vengeance de Maltazard","65000000","13","2","93","1952847"
"Arthur et les Minimoys","65000000","13","2","94","15132763"
"Article 99","18000000","5","4","100","6375979"
"Artificial Intelligence: AI","100000000","13","3","146","235927000"
"As Good as It Gets","50000000","5","3","139","148478011"
"Asoka","130000000","20","4","169","85000000"
"Assassins","50000000","20","4","132","30306268"
"Astérix & Obélix: Mission Cléopâtre","327000000","13","2","107","3115188"
"At First Sight","60000000","4","3","128","223596521999"
"At Play in the Fields of the Lord","36000000","4","4","189","1342903"
"Atlantis: The Lost Empire","90000000","13","2","95","1019972532001"
"Atlas Shrugged: Part I","4300000","4","3","97","4752353"
"Atonement","30000000","4","4","123","50927067"
"Attack the Block","13000000","20","4","88","119058"
"Austin Powers in Goldmember","63000000","20","3","94","213307889"
"Austin Powers: International Man of Mystery","17000000","5","3","94","53883989"
"Austin Powers: The Spy Who Shagged Me","33000000","20","3","95","206040086"
"Auto Focus","7000000","11","4","105","621582003"
"Autumn in New York","40000000","4","3","103","377619152000"
"Avalon","8000000","20","4","107","400000"
"Avatar","237000000","20","3","162","760507625"
"AVP: Alien vs. Predator","60000000","20","3","101","80282231"
"AVPR: Aliens vs Predator - Requiem","40000000","20","4","102","128884494"
"Awake","8600000","14","4","84","32685679"
"Away from Her","4000000","4","3","110","1390906"
"Away We Go","17000000","5","4","98","9451946"
"Babel","25000000","4","4","143","34302837"
"Baby's Day Out","50000000","13","2","99","16671505"
"Bacheha-Ye aseman","180000","4","2","89","91383"
"Bad Boys","19000000","20","4","118","65807024"
"Bad Boys II","130000000","20","4","147","138608444"
"Bad Company","70000000","20","3","125","30160161"
"Bad Lieutenant","1000000","14","5","91","2000022"
"Bad Moon","7000000","2","4","80","1055525"
"Bad News Bears","30000000","5","3","113","32868349"
"Bandits","80000000","5","3","123","3116955"
"Bandolero!","4450000","20","3","106","120000001968"
"Banlieue 13","12000000","20","4","84","6920731"
"Barcelona","3200000","5","3","101","7266973"
"Barton Fink","9000000","4","4","116","6153939"
"Basic Instinct","49000000","4","4","128","117727000"
"Basic Instinct 2","70000000","4","4","114","5971336"
"Batman & Robin","125000000","20","3","125","107325195"
"Batman Begins","150000000","20","3","128","374218673"
"Batman Forever","100000000","20","3","121","184031112"
"Batman Returns","80000000","20","3","126","162831698"
"Batman: Mask of the Phantasm","6000000","20","2","76","5617391"
"Bats","6500000","2","3","91","10155690"
"Battlefield Earth","44000000","20","3","118","8253978"
"Battleship","209000000","20","3","131","65422625"
"Be Cool","53000000","5","3","118","56046979"
"Bean","22000000","5","3","89","45319423"
"Beastly","17000000","4","3","86","27865571"
"Beasts of the Southern Wild","1800000","4","3","93","12795746"
"Beautiful Creatures","60000000","4","3","124","19452138"
"Beavis and Butt-Head Do America","12000000","13","3","81","2100000"
"Becket","3000000","11","3","148","91643701964"
"Becoming Jane","16500000","11","2","120","18670946"
"Bedazzled","48000000","5","3","93","378869802001"
"Bedtime Stories","80000000","5","2","99","110101975"
"Bee Movie","150000000","13","2","91","126631277"
"Beerfest","17500000","5","4","110","19185184"
"Beethoven's 2nd","15000000","5","2","89","53354166"
"Before and After","35000000","14","3","108","8797839"
"Before Sunrise","2500000","4","4","105","5535405"
"Beginners","3200000","5","4","105","8520807"
"Behind Enemy Lines","40000000","20","3","106","917532222001"
"Being Human","30000000","5","3","122","1519366"
"Belle","10900000","4","2","104","10726630"
"Beloved","53000000","4","4","172","22852487"
"Bend It Like Beckham","3500159","5","3","112","76583333"
"Beneath Hill 60","9000000","4","4","122","34409392010"
"Beowulf","3500000","20","4","95","502221999"
"Better Luck Tomorrow","250000","14","4","101","3802390"
"Beverly Hills Chihuahua","20000000","13","2","91","94514402"
"Beverly Hills Cop III","55000000","20","4","104","42610000"
"Beyond Rangoon","23000000","20","4","100","5750110"
"Beyond the Sea","23000000","11","3","118","82215"
"Bicentennial Man","100000000","4","2","132","93700000"
"Big Bully","15000000","5","2","90","4085000"
"Big Daddy","34200000","5","3","93","163479795"
"Big Fish","70000000","13","3","125","122919055"
"Big Jake","4800000","20","3","110","7500000"
"Big Momma's House","30000000","20","3","99","117559438"
"Big Momma's House 2","40000000","5","3","99","70165972"
"Big Stan","10000000","20","4","105","4705194"
"Billy Bathgate","48000000","20","4","106","15965919"
"Billy Elliot","5000000","5","3","110","21995263"
"Billy Madison","10000000","5","3","89","25588750"
"Bis ans Ende der Welt","23000000","20","4","280","752856"
"Bitter Moon","5000000","4","4","139","1862805"
"Black Hawk Down","92000000","4","4","144","108638745"
"Black Swan","13000000","4","4","108","106954678"
"Blade","45000000","20","4","120","70087718"
"Blade II","54000000","20","4","117","82348319"
"Blade Runner","28000000","8","4","117","37403301992"
"Blades of Glory","61000000","5","3","93","118594548"
"Blast from the Past","35000000","5","3","112","40246517"
"Blind Horizon","5000000","4","4","99","79632004"
"Blink","11000000","14","4","106","16696219"
"Blonde Ambition","10000000","5","3","93","6422"
"Blood and Wine","22000000","14","4","101","148756041"
"BloodRayne","25000000","20","4","92","2405420"
"Blow","30000000","11","4","124","52990775"
